Timestamp[nanosec], gx[rad/s], gy[rad/s], gz[rad/s], ax[m/s^2], ay[m/s^2], az[m/s^2]
433447504680479,-0.0042310944,0.005278048,-0.005835647,-0.019403756,5.2418346,8.48473
433447524629438,0.0157426,0.010338049,-0.00956407,-0.019403756,5.2418346,8.48473
433447544578396,0.0042910147,0.014066472,-0.016754597,-0.18588948,5.537676,8.414063
433447564527354,0.038912073,0.011935945,-0.005569331,-0.18588948,5.537676,8.414063
433447584476313,0.0024268029,0.006609627,-0.0029061725,-0.7104993,5.6215177,8.487125
433447604425271,0.0112152295,0.012734892,-0.008498806,-0.7104993,5.6215177,8.487125
433447624374229,0.010948909,0.009805418,0.0026864605,-0.19427368,5.3831677,7.025883
433447644323188,-0.010356358,0.006609627,-0.0039714347,-0.63504165,5.4789867,7.7241654
433447664272354,0.012280489,0.0042127846,-0.006634595,-0.10085,5.4358683,8.287103
433447684221521,-0.008225832,7.506779E-4,8.222498E-4,-0.2649403,5.4083204,8.266741
433447704170688,-0.0021005666,-3.1458563E-4,-0.0029061725,-0.8422506,5.498151,8.273928
433447724119854,2.962749E-4,-0.0051082717,0.0029527768,-0.22182165,5.523303,8.324232
433447744069021,0.015476281,-0.0077714305,0.011741201,-0.52245426,5.8838224,8.1960745
433447764018188,-0.009823728,-0.010168274,0.005882251,-0.546409,5.4274845,8.33621
433447783967354,0.01867207,-0.004043008,0.0053496193,0.21056226,5.134038,7.5960073
433447803916521,-0.0058289897,-0.005907219,0.0069475146,-0.1164206,5.3867607,8.827283
433447823865531,-0.0044974107,0.0031475208,2.8961804E-4,-0.4158554,5.393947,7.407963
433447843814490,0.012014177,-0.0035103762,0.006414884,-0.03138113,5.8658566,8.411668
433447863763448,-0.022074258,-0.0029777444,0.012540148,-0.74164057,5.622715,7.89664
433447883712406,0.015476283,-0.004043008,0.009344359,-0.55718863,5.2969303,7.9098153
433447903661365,-0.00822583,-0.0064398507,0.014138044,-0.46735823,5.409518,8.433227
433447923610323,0.0042910166,-0.008836694,0.011208569,-0.46735823,5.409518,8.433227
433447943559281,0.005888911,-0.008570378,0.010942251,-0.32482728,5.37119,7.827171
433447963508240,2.996088E-5,-0.005374587,0.0077464627,-0.20625103,5.501744,8.391306
433447983457198,0.008818384,-0.008037746,0.0074801454,-0.2924883,5.040614,7.9852724
433448003406156,-0.010356359,-0.008037746,0.005083305,-0.4422057,5.459823,8.352978
433448023355115,-0.0018342503,-0.0091030095,0.0048169876,-0.4422057,5.459823,8.352978
433448043304073,0.0042910147,-0.008304062,0.007213832,-0.17750525,5.4861736,8.2883
433448063253031,0.009084702,-0.0133640645,0.0069475146,-0.2038556,5.332863,7.967306
433448083201990,-0.014617412,-0.0024451127,0.001621197,-0.5607819,5.107688,8.483532
433448103150948,-0.0021005657,-0.0011135333,0.002420145,0.012935221,5.4574275,7.822379
433448123099906,-0.0098237265,0.0050117318,0.003751724,-0.64103043,5.4346704,8.706311
433448143048865,0.0024268038,0.0055443635,5.5593345E-4,-0.64103043,5.4346704,8.706311
433448162997823,0.0021604875,0.0060769953,0.006681199,-0.14756182,5.602354,7.63673
