Timestamp[nanosec], gx[rad/s], gy[rad/s], gz[rad/s], ax[m/s^2], ay[m/s^2], az[m/s^2]
179250665326948,6.536258E-4,-0.12328055,-0.025579983,10.24989,-0.5219519,-1.5850099
179250685326948,0.012260065,-0.15993246,0.05627596,10.64734,-0.8667275,-1.8938714
179250705326948,0.004318817,-0.06585921,0.02695443,9.876384,-0.11253092,-1.376708
179250725326948,-0.009120218,0.07586152,-0.051236324,9.3831625,-0.05985687,-0.6296943
179250745326948,-0.0048441617,0.14183497,-0.016417004,9.517242,-0.6201172,-0.24421602
179250765326948,0.003097087,0.07586152,0.030619621,9.648928,-0.38308397,-0.66321415
179250785326948,6.536258E-4,-0.061583158,-5.345071E-4,9.921875,-0.13647367,-1.3814965
179250805326948,6.536258E-4,-0.1275566,-0.01030835,10.242707,-0.46209505,-1.6424725
179250825326948,0.004318817,-0.057917964,0.023900103,10.10384,-0.6392714,-1.2402344
179250845327248,0.0012644911,0.049594317,0.013515393,9.481328,-0.25858167,-0.75180227
179250865327248,-0.0054550264,0.09052228,-0.028023444,9.3592205,-0.17717634,-0.46927786
179250885327248,-0.0024007002,0.053259507,-0.012140946,9.835681,-0.53392327,-0.7110996
179250905327248,0.0049296827,-0.03287249,0.028176159,10.058349,-0.45970076,-1.297697
179250925327248,0.003097087,-0.08968296,0.011682797,9.998491,-0.28013015,-1.5299416
179250945326948,-5.681047E-4,-0.058528833,-0.011530082,9.964972,-0.45730647,-1.2402344
179250965326948,6.536258E-4,0.025770573,0.0061850105,9.821315,-0.4956149,-0.7350424
179250985326948,-5.681047E-4,0.07158546,0.0061850105,9.5483675,-0.26097596,-0.6177229
179251005326948,-0.0030115657,0.038598742,-0.0139735425,9.75667,-0.31604427,-0.90503585
179251025326948,4.2760566E-5,-0.023709513,7.6358156E-5,10.032011,-0.5219519,-1.2785428
179251045326948,0.003097087,-0.0591397,0.019013181,10.041589,-0.45730647,-1.3934679
179251065326948,0.0012644911,-0.043257203,0.00496328,9.847652,-0.3232271,-1.2474172
179251085326948,-0.0017898352,0.011720671,-0.010919216,9.737515,-0.38308397,-0.94095
