Timestamp[nanosec], gx[rad/s], gy[rad/s], gz[rad/s], ax[m/s^2], ay[m/s^2], az[m/s^2]
259254821044917,0.0022516493,0.0020360139,0.001799609,9.471751,1.3024855,-2.3775148
259254841011583,-1.9181168E-4,0.016085915,-3.298672E-5,9.627379,1.333611,-2.6097596
259254860978249,0.0022516493,-0.017511675,-0.003087313,9.534002,1.3000913,-2.257801
259254880944915,0.0010299188,0.011198993,-6.43852E-4,9.507666,1.3264283,-2.317658
259254900911581,4.1905354E-4,0.00509034,-6.43852E-4,9.502876,1.2953026,-2.5283542
259254920878247,0.0010299188,-0.011403021,-0.0024764477,9.502876,1.2953026,-2.5283542
259254940844913,-1.9181168E-4,0.014253319,5.7787856E-4,9.502876,1.3048798,-2.5211713
259254960844913,0.0010299188,-0.005294369,-6.43852E-4,9.505271,1.3216397,-2.439766
259254980844913,0.0010299188,-0.002850908,-0.0012547172,9.478934,1.2833313,-2.281744
259255000844913,-1.9181168E-4,0.011198993,0.0024104742,9.646533,1.2737542,-2.5211713
259255020844913,0.0010299188,-0.009570426,-0.0018655824,9.488511,1.2617828,-2.300898
259255040844913,4.1905354E-4,0.005701205,-3.298672E-5,9.500483,1.2138973,-2.3559663
259255060844913,4.1905354E-4,0.006922936,0.001799609,9.562734,1.2617828,-2.5427198
259255080845279,4.1905354E-4,-0.008959561,-3.298672E-5,9.505271,1.175589,-2.3631492
259255100845279,-1.9181168E-4,0.008144666,0.001799609,9.474146,1.2067145,-2.4254005
259255120845279,-1.9181168E-4,0.0038686097,-6.43852E-4,9.534002,1.175589,-2.4349775
259255140845279,4.1905354E-4,-0.002240043,-3.298672E-5,9.517242,1.2258687,-2.3152637
259255160845279,-8.026769E-4,0.008755531,-3.298672E-5,9.47654,1.2138973,-2.4254005
259255180844912,-1.9181168E-4,2.0341812E-4,-6.43852E-4,9.502876,1.1803775,-2.3751206
259255200844912,-1.9181168E-4,2.0341812E-4,-0.0018655824,9.471751,1.2522057,-2.3200524
259255220845245,-8.026769E-4,0.0075338013,-0.003087313,9.545974,1.2474172,-2.3823035
259255240845245,-8.026769E-4,-0.0010183123,-0.0036981783,9.507666,1.2546,-2.3320236
259255260845245,-8.026769E-4,8.142834E-4,-0.003087313,9.555551,1.3144568,-2.3583608
259255280845245,4.1905354E-4,8.142834E-4,-6.43852E-4,9.541185,1.2881198,-2.439766
259255300845245,4.1905354E-4,-0.0046835034,-0.0018655824,9.522031,1.2546,-2.3823035
259255320844878,4.1905354E-4,-0.0010183123,-3.298672E-5,9.486116,1.3024855,-2.4445546
259255340844878,0.0010299188,-0.0040726387,5.7787856E-4,9.502876,1.2450229,-2.3918805
259255360844878,0.0010299188,-0.002240043,5.7787856E-4,9.543579,1.2641771,-2.3966691
259255380844878,0.001640784,-0.0059052343,-6.43852E-4,9.538791,1.2857256,-2.432583
259255400844878,0.001640784,-0.002850908,-0.0012547172,9.510059,1.297697,-2.3583608
259255420844878,0.0022516493,-0.002240043,-0.0012547172,9.517242,1.2857256,-2.3942747
259255440844878,0.001640784,-0.0059052343,-0.0018655824,9.536397,1.297697,-2.4182177
259255460844878,0.001640784,-0.0010183123,-0.0018655824,9.478934,1.3072741,-2.3775148
259255480844878,0.001640784,-0.0016291776,-0.0012547172,9.586677,1.3216397,-2.49244
259255500844878,0.0010299188,-0.0040726387,-0.0012547172,9.5244255,1.2881198,-2.4684973
259255520844878,0.0010299188,8.142834E-4,-3.298672E-5,9.5244255,1.2881198,-2.4684973
259255540844878,0.0010299188,-0.0010183123,5.7787856E-4,9.545974,1.2258687,-2.4684973
259255560844878,0.0010299188,-0.002240043,0.0011887437,9.629773,1.2665714,-2.3966691
259255580845244,0.0010299188,0.0032577442,0.0011887437,9.541185,1.2474172,-2.4086404
259255600845244,0.0010299188,8.142834E-4,-6.43852E-4,9.543579,1.2354459,-2.4493432
259255620845244,0.0010299188,0.0020360139,5.7787856E-4,9.47654,1.2761484,-2.4469488
259255640845244,4.1905354E-4,0.004479475,-6.43852E-4,9.452597,1.2091088,-2.4972286
259255660845244,0.0010299188,0.0014251486,-3.298672E-5,9.39274,1.2354459,-2.5092
259255680844877,4.1905354E-4,0.004479475,-3.298672E-5,9.483723,1.2617828,-2.4445546
259255700844877,4.1905354E-4,0.0032577442,-6.43852E-4,9.57231,1.2330515,-2.413429
259255720845210,-1.9181168E-4,0.0020360139,-6.43852E-4,9.517242,1.2617828,-2.351178
259255740845210,-1.9181168E-4,0.00509034,-6.43852E-4,9.553157,1.2569942,-2.3751206
259255760845210,-1.9181168E-4,0.0020360139,-0.0012547172,9.5483675,1.2857256,-2.3775148
259255780845210,-1.9181168E-4,0.0020360139,-0.0012547172,9.522031,1.3120626,-2.3823035
259255800845210,-1.9181168E-4,0.0032577442,-0.0012547172,9.488511,1.2761484,-2.403852
259255820844876,4.1905354E-4,2.0341812E-4,-6.43852E-4,9.488511,1.2761484,-2.403852
259255840844876,-1.9181168E-4,8.142834E-4,-6.43852E-4,9.502876,1.2761484,-2.3679378
259255860844876,-1.9181168E-4,8.142834E-4,-3.298672E-5,9.510059,1.2809371,-2.370332
259255880844876,-8.026769E-4,-4.0744714E-4,-0.0012547172,9.4932995,1.2881198,-2.3751206
259255900844876,-1.9181168E-4,8.142834E-4,-6.43852E-4,9.545974,1.2593886,-2.3679378
259255920844876,-1.9181168E-4,-4.0744714E-4,-6.43852E-4,9.529214,1.2713599,-2.3799093
259255940844876,-1.9181168E-4,-4.0744714E-4,-6.43852E-4,9.543579,1.2713599,-2.3918805
259255960844876,-1.9181168E-4,2.0341812E-4,-6.43852E-4,9.522031,1.2713599,-2.370332
259255980844876,4.1905354E-4,-4.0744714E-4,-6.43852E-4,9.510059,1.2522057,-2.370332
259256000844876,4.1905354E-4,2.0341812E-4,-6.43852E-4,9.519637,1.2546,-2.403852
259256020844876,4.1905354E-4,-4.0744714E-4,-3.298672E-5,9.512454,1.2689656,-2.413429
259256040844876,-1.9181168E-4,-0.0010183123,-0.0012547172,9.514848,1.2162915,-2.4086404
259256060844876,4.1905354E-4,-4.0744714E-4,-3.298672E-5,9.555551,1.2569942,-2.4254005
259256080845209,0.0010299188,-0.0010183123,-3.298672E-5,9.541185,1.2641771,-2.4086404
259256100845209,4.1905354E-4,-0.0010183123,-3.298672E-5,9.510059,1.2593886,-2.413429
259256120845209,0.0010299188,-4.0744714E-4,-3.298672E-5,9.510059,1.2593886,-2.413429
259256140845209,4.1905354E-4,-4.0744714E-4,-6.43852E-4,9.512454,1.2450229,-2.3870919
259256160845209,4.1905354E-4,2.0341812E-4,-3.298672E-5,9.5244255,1.2474172,-2.3918805
259256180844842,0.0010299188,-4.0744714E-4,-0.0012547172,9.567522,1.333611,-2.3966691
259256200844842,4.1905354E-4,-4.0744714E-4,-0.0012547172,9.502876,1.2162915,-2.4254005
259256220845208,4.1905354E-4,8.142834E-4,-0.0018655824,9.560339,1.2546,-2.413429
259256240845208,4.1905354E-4,-4.0744714E-4,-0.0024764477,9.534002,1.2498114,-2.4086404
259256260845208,0.0010299188,8.142834E-4,-0.0018655824,9.5244255,1.2593886,-2.413429
259256280845208,4.1905354E-4,8.142834E-4,-0.0018655824,9.500483,1.2474172,-2.439766
259256300845208,-1.9181168E-4,8.142834E-4,-0.0018655824,9.47654,1.2713599,-2.432583
