Timestamp[nanosec], gx[rad/s], gy[rad/s], gz[rad/s], ax[m/s^2], ay[m/s^2], az[m/s^2]
182183274288033,0.010588127,-0.030567698,0.001373836,9.881172,0.5027977,-1.9393626
182183294288033,0.006922936,-0.06233269,0.021532388,9.814133,0.6105401,-2.176396
182183314288033,-0.0010183123,-0.06233269,0.0019847013,9.751882,0.6895511,-2.0399222
182183334288033,-0.002240043,-0.0018570304,-0.008400008,9.660899,0.5985687,-1.6807809
182183354288033,8.142834E-4,0.055564303,7.629707E-4,9.517242,0.70870537,-1.4126221
182183374288033,-0.0016291776,0.051288247,-0.0053456817,9.541185,0.75180227,-1.594587
182183394288033,-0.0010183123,-0.047671925,0.008093353,9.826104,0.5865973,-1.9297855
182183414288033,2.0341812E-4,-0.040952407,0.008704219,9.871595,0.5865973,-2.1069617
182183434288033,-0.002850908,0.003640757,-0.0071782777,9.708784,0.7206767,-1.9058428
182183454288033,-0.0010183123,0.038460076,-0.005956547,9.593859,0.67279124,-1.6783867
182183474288033,8.142834E-4,0.031129692,0.0019847013,9.5794935,0.6273,-1.6041641
182183494288266,-4.0744714E-4,-0.006133087,-4.5875978E-4,9.63935,0.6751855,-1.7478206
182183514288266,-4.0744714E-4,-0.028124236,1.5210545E-4,9.703996,0.6440599,-1.960911
182183534288266,0.0014251486,-0.017128661,0.0056498926,9.77343,0.6057515,-1.9848539
182183554288266,8.142834E-4,0.010360274,0.0019847013,9.699207,0.62251145,-1.8172545
182183574288266,-0.0010183123,0.025631906,-0.0071782777,9.593859,0.70631105,-1.5897985
182183594287932,2.0341812E-4,0.018912388,-0.0016804902,9.565128,0.6392714,-1.6520497
182183614287932,0.0020360139,-0.009798279,0.006260758,9.699207,0.5985687,-1.7645805
182183634288232,2.0341812E-4,-0.02751337,0.001373836,9.701602,0.65124273,-1.9417568
182183654138924,8.142834E-4,-0.015296065,-0.001069625,9.768641,0.65124273,-1.8579572
182183674138924,0.0026468793,0.0121928705,0.0025955664,9.7135725,0.6273,-1.7813405
182183694138924,8.142834E-4,0.027464502,-0.0022913555,9.629773,0.7015225,-1.6161355
182183714138924,-4.0744714E-4,0.014025466,-0.0041239513,9.634562,0.7039168,-1.5897985
182183734138624,8.142834E-4,-0.0073548174,0.0032064316,9.718362,0.6368771,-1.7693691
182183754138624,8.142834E-4,-0.021404719,0.0050390274,9.73991,0.62251145,-1.8723229
182183774138624,2.0341812E-4,-0.011630875,-4.5875978E-4,9.687236,0.6656084,-1.8172545
182183794138624,-4.0744714E-4,0.0054733525,-0.0016804902,9.651321,0.6296943,-1.7358493
182183814138624,2.0341812E-4,0.01097114,0.001373836,9.617802,0.6249057,-1.6999351
182183834138624,-4.0744714E-4,-2.443461E-5,-4.5875978E-4,9.660899,0.6560313,-1.759792
182183854138624,-0.0016291776,-0.011630875,-0.0016804902,9.668081,0.6344828,-1.8699286
182183874138624,-4.0744714E-4,-0.010409144,0.0025955664,9.708784,0.6105401,-1.8627458
182183894138624,-0.0010183123,-0.0012461651,7.629707E-4,9.653716,0.65124273,-1.8627458
182183914138624,-0.0016291776,0.006084218,-0.0035130861,9.665688,0.67279124,-1.7693691
182183934138624,-0.0010183123,0.009138544,-0.001069625,9.665688,0.63208854,-1.7621863
182183954138624,-0.0010183123,0.0054733525,-4.5875978E-4,9.641745,0.6703969,-1.7143008
182183974138624,-0.002240043,-0.0030787608,-0.0041239513,9.677659,0.68715686,-1.7358493
182183994138790,-4.0744714E-4,-0.010409144,1.5210545E-4,9.797373,0.6392714,-1.8699286
182184014138790,2.0341812E-4,-0.0049113566,0.0032064316,9.77343,0.66800267,-1.8364087
182184034138790,-0.0010183123,0.0121928705,-0.0029022207,9.63935,0.69912827,-1.6544439
182184054138790,-0.002850908,0.015858062,-0.0053456817,9.593859,0.69673395,-1.6089526
182184074138790,-4.0744714E-4,-0.0055222223,-4.5875978E-4,9.737515,0.6440599,-1.8435916
182184094138556,0.0014251486,-0.030567698,0.0056498926,9.811738,0.6392714,-1.9728824
182184114138556,-4.0744714E-4,-0.02384818,0.001373836,9.737515,0.66800267,-1.960911
182184134138889,-4.0744714E-4,0.0048624873,-0.0016804902,9.656111,0.6488485,-1.7837347
182184154138889,0.0020360139,0.029297097,1.5210545E-4,9.615408,0.66800267,-1.7214836
182184174138889,8.142834E-4,0.02502104,-0.001069625,9.608225,0.7015225,-1.664021
182184194138889,2.0341812E-4,0.001197296,-0.001069625,9.660899,0.6488485,-1.8268317
182184214138889,8.142834E-4,-0.0146852005,0.0044281622,9.792584,0.6344828,-1.9297855
182184234138589,0.0014251486,-0.008576548,0.003817297,9.7135725,0.64166564,-1.8483802
182184254138589,-0.0010183123,0.007305948,-0.0022913555,9.632168,0.72785956,-1.6759924
182184274138589,-0.0016291776,0.017079793,-0.0035130861,9.648928,0.66800267,-1.7310607
182184294138589,0.0014251486,-0.0049113566,0.0050390274,9.8237095,0.57223165,-1.802889
182184314138589,0.0020360139,-0.014074335,0.008704219,9.735122,0.67757976,-1.8483802
182184334138589,-0.0016291776,-0.0043004914,-0.0041239513,9.668081,0.70631105,-1.8411974
182184354138589,-0.0010183123,0.007916814,-0.0047348165,9.7135725,0.6153286,-1.7789462
182184374138589,0.0014251486,0.018301522,0.0044281622,9.615408,0.6488485,-1.7454263
182184394138589,-0.0016291776,0.015247196,-0.0022913555,9.591465,0.7206767,-1.6831752
182184414138589,-0.0016291776,-0.0030787608,-0.0041239513,9.624985,0.6081458,-1.838803
182184434138589,2.0341812E-4,-0.026291639,0.0056498926,9.718362,0.6608198,-1.9154198
182184454138589,-0.0010183123,-0.02995683,0.001373836,9.720756,0.6656084,-1.9752767
182184474138589,-4.0744714E-4,-0.022015583,-4.5875978E-4,9.804555,0.58420306,-1.9872481
182184494138922,0.0026468793,0.007305948,0.0032064316,9.651321,0.60335726,-1.8292259
182184514138922,8.142834E-4,0.039681803,-0.0035130861,9.577099,0.7206767,-1.5897985
182184534138922,-4.0744714E-4,0.048233923,-0.009621738,9.586677,0.6392714,-1.5921928
182184554138922,-4.0744714E-4,0.015247196,-4.5875978E-4,9.835681,0.65124273,-1.759792
182184574138922,8.142834E-4,-0.016517796,0.003817297,9.742304,0.6608198,-1.9321798
182184594138755,-0.0010183123,-0.025680775,-4.5875978E-4,9.763853,0.6751855,-1.7430321
182184614138755,-0.002240043,-0.008576548,-0.0016804902,9.794978,0.65842557,-1.8962656
182184634139055,0.0020360139,-0.0018570304,0.0019847013,9.735122,0.68236834,-1.7693691
182184654139055,-0.0016291776,0.019523252,-0.001069625,9.61062,0.7398309,-1.6783867
182184674139055,-0.002240043,0.023188444,-0.0071782777,9.615408,0.69912827,-1.637684
182184694139055,-4.0744714E-4,0.0066950833,-0.0016804902,9.749487,0.6368771,-1.8316202
182184714139055,8.142834E-4,-0.022015583,0.0050390274,9.648928,0.68715686,-1.8340145
182184734138721,-0.0010183123,-0.016517796,-0.0035130861,9.727939,0.72546524,-1.8723229
182184754138721,8.142834E-4,0.0054733525,0.003817297,9.720756,0.64166564,-1.8795058
182184774138721,2.0341812E-4,0.024410175,1.5210545E-4,9.670476,0.69912827,-1.6089526
182184794138721,-0.0010183123,0.020744983,-0.0047348165,9.586677,0.7326481,-1.5874043
182184814138721,2.0341812E-4,-6.352999E-4,0.0032064316,9.701602,0.6488485,-1.6448668
182184834138721,0.0020360139,-0.01835039,0.006260758,9.768641,0.6273,-1.8675344
182184854138721,2.0341812E-4,-0.014074335,1.5210545E-4,9.778218,0.65363705,-1.8507744
182184874138721,2.0341812E-4,0.0030298918,-0.001069625,9.682447,0.6249057,-1.786129
182184894138721,0.0014251486,0.0134146,7.629707E-4,9.680053,0.6201172,-1.7454263
182184914138721,-4.0744714E-4,0.003640757,-0.0016804902,9.608225,0.67279124,-1.7166951
182184934138721,-0.0010183123,-0.018961258,-0.001069625,9.687236,0.6344828,-1.8052832
182184954138721,8.142834E-4,-0.030567698,0.0032064316,9.761458,0.6153286,-1.9202085
182184974138721,8.142834E-4,-0.019572122,0.001373836,9.799767,0.65842557,-1.9728824
182184994138887,8.142834E-4,0.001197296,-0.0022913555,9.754275,0.66321415,-1.8340145
182185014138887,-0.0010183123,0.017079793,-0.0041239513,9.62259,0.66321415,-1.690358
182185034138887,8.142834E-4,0.007916814,-0.0016804902,9.703996,0.68715686,-1.7669748
182185054138887,8.142834E-4,-0.009187413,7.629707E-4,9.759064,0.6943397,-1.9489397
182185074138887,2.0341812E-4,-0.008576548,0.0019847013,9.804555,0.66321415,-1.9417568
182185094138553,2.0341812E-4,0.0121928705,1.5210545E-4,9.715967,0.68236834,-1.8483802
182185114138553,-0.0016291776,0.02502104,-0.005956547,9.613013,0.74222517,-1.664021
182185134138853,-0.0010183123,0.017079793,-0.0016804902,9.636956,0.67279124,-1.7358493
182185154138853,-4.0744714E-4,-0.0055222223,0.003817297,9.708784,0.6895511,-1.8244374
182185174138853,-0.002240043,-0.015296065,-0.0022913555,9.677659,0.7110996,-1.8579572
182185194138853,-0.0010183123,-0.0024678954,0.001373836,9.699207,0.6177229,-1.7310607
182185214138853,2.0341812E-4,0.007305948,0.0032064316,9.646533,0.7039168,-1.7071179
182185234138553,-4.0744714E-4,0.0066950833,-0.0041239513,9.677659,0.6847626,-1.7526091
182185254138553,2.0341812E-4,0.004251622,0.0044281622,9.725544,0.57223165,-1.7238779
182185274138553,-4.0744714E-4,0.0048624873,0.003817297,9.624985,0.71588814,-1.6544439
182185294138553,-0.002240043,-0.0055222223,-0.0053456817,9.677659,0.67279124,-1.7933118
182185314138553,0.0014251486,-0.009798279,0.0050390274,9.792584,0.5650489,-1.8603516
182185334138553,0.0014251486,-0.0018570304,0.006871623,9.703996,0.6488485,-1.7837347
182185354138553,-0.0016291776,0.009138544,-0.008400008,9.560339,0.6895511,-1.6855695
182185374138553,-4.0744714E-4,0.010360274,-0.001069625,9.663293,0.59378016,-1.6568382
182185394138553,0.0014251486,-0.0043004914,0.006871623,9.648928,0.6344828,-1.7789462
182185414138553,2.0341812E-4,-0.022015583,1.5210545E-4,9.7135725,0.6464542,-1.8890828
182185434138553,0.0014251486,-0.01835039,0.0025955664,9.708784,0.5889916,-1.8890828
182185454138553,0.0014251486,-0.0012461651,0.003817297,9.653716,0.6464542,-1.8483802
182185474138553,8.142834E-4,0.0121928705,-0.0035130861,9.608225,0.6488485,-1.7430321
182185494138719,8.142834E-4,0.014636331,-0.001069625,9.613013,0.6703969,-1.7238779
182185514138719,2.0341812E-4,-0.0030787608,-0.001069625,9.682447,0.69673395,-1.8579572
182185534138719,8.142834E-4,-0.024459044,0.0019847013,9.809344,0.6249057,-2.0064023
182185554138719,0.0014251486,-0.021404719,0.007482488,9.747093,0.6464542,-1.9824595
182185574138719,2.0341812E-4,0.0030298918,1.5210545E-4,9.613013,0.6895511,-1.8148603
182185594138552,-4.0744714E-4,0.02257758,-0.0035130861,9.613013,0.6344828,-1.6807809
182185614138552,0.0014251486,0.018912388,0.0025955664,9.648928,0.6392714,-1.7550035
182185634138885,2.0341812E-4,-0.0043004914,0.0019847013,9.670476,0.6392714,-1.8364087
182185654138885,-0.0016291776,-0.016517796,-4.5875978E-4,9.70639,0.600963,-1.9178141
182185674138885,-4.0744714E-4,-0.010409144,0.0019847013,9.720756,0.58420306,-1.8579572
182185694138885,-4.0744714E-4,0.0066950833,7.629707E-4,9.63935,0.6201172,-1.7406378
182185714138885,-0.0010183123,0.017079793,-0.0035130861,9.62259,0.6201172,-1.6999351
182185734138585,-0.0010183123,0.017079793,-0.0029022207,9.656111,0.59378016,-1.6688095
182185754138585,-0.0010183123,0.006084218,-0.001069625,9.634562,0.6201172,-1.7502149
182185774138585,-0.0016291776,-0.006133087,-0.0035130861,9.672871,0.65124273,-1.7502149
182185794138585,-0.0016291776,-0.010409144,-0.0035130861,9.699207,0.62251145,-1.7741576
182185814138585,-0.0016291776,-0.008576548,-0.0022913555,9.737515,0.65363705,-1.7693691
182185834138585,-0.0016291776,-0.0049113566,-0.0022913555,9.761458,0.6608198,-1.7933118
182185854138585,-0.0016291776,0.0018081611,-0.0029022207,9.701602,0.6847626,-1.7047237
182185874138585,-0.0016291776,0.0066950833,-0.0041239513,9.711179,0.7015225,-1.6759924
182185894138585,-0.0010183123,0.007916814,-0.0035130861,9.730332,0.69194543,-1.7047237
182185914138585,-0.0010183123,0.003640757,-0.001069625,9.718362,0.7326481,-1.7406378
182185934138585,-0.0010183123,-0.0018570304,-0.0035130861,9.725544,0.7877164,-1.7502149
182185954138585,-4.0744714E-4,-0.0043004914,-0.0029022207,9.751882,0.7350424,-1.8244374
182185974138585,8.142834E-4,-0.0024678954,0.0019847013,9.735122,0.75659084,-1.8100717
182185994138918,0.0014251486,0.0054733525,0.0025955664,9.672871,0.74222517,-1.812466
182186014138918,8.142834E-4,0.015858062,1.5210545E-4,9.60583,0.71588814,-1.7310607
182186034138918,2.0341812E-4,0.018301522,7.629707E-4,9.562734,0.7134939,-1.6017698
182186054138918,2.0341812E-4,0.012803736,0.0032064316,9.562734,0.69673395,-1.6496553
182186074138918,0.0014251486,-0.045228463,0.009315085,9.749487,0.6392714,-1.9034485
182186094138751,0.0020360139,-0.045228463,0.011147681,9.80695,0.5889916,-2.0973847
182186114138751,0.0020360139,-0.003689626,0.007482488,9.838076,0.5650489,-1.9704882
182186134139051,8.142834E-4,0.029297097,-0.0016804902,9.596253,0.6392714,-1.7143008
182186154139051,0.0014251486,0.028686231,1.5210545E-4,9.620196,0.5865973,-1.620924
182186174139051,0.0032577442,0.001197296,0.008093353,9.720756,0.5147691,-1.7214836
182186194139051,8.142834E-4,-0.019572122,0.0025955664,9.696813,0.5961744,-1.8723229
182186214139051,2.0341812E-4,-0.019572122,-0.0016804902,9.701602,0.56265455,-1.9226027
182186234138717,0.0032577442,0.0048624873,0.0032064316,9.761458,0.51716334,-1.9178141
182186254138717,0.0014251486,0.029297097,-0.0041239513,9.653716,0.61293435,-1.7645805
182186274138717,-0.0010183123,0.03296229,-0.012676065,9.483723,0.7110996,-1.5227587
182186294138717,-4.0744714E-4,0.011582006,-0.0029022207,9.565128,0.6153286,-1.6879637
182186314138717,2.0341812E-4,-0.023237314,0.0025955664,9.696813,0.63208854,-1.8842943
182186334138717,-0.0016291776,-0.033622023,-0.005956547,9.653716,0.723071,-1.9561225
182186354138717,-0.0010183123,-0.0128526045,-0.0035130861,9.749487,0.66321415,-1.8962656
182186374138717,2.0341812E-4,0.020744983,7.629707E-4,9.632168,0.6488485,-1.7717633
182186394138717,-0.002850908,0.031740557,-0.009010873,9.474146,0.7805336,-1.620924
182186414138717,-0.0040726387,0.012803736,-0.009010873,9.541185,0.723071,-1.673598
182186434138717,-0.0016291776,-0.02384818,0.006260758,9.747093,0.6177229,-1.7957062
182186454138717,-0.002850908,-0.04034154,0.003817297,9.792584,0.69673395,-2.0183737
182186474138717,-0.002240043,-0.020793853,-0.0016804902,9.821315,0.6608198,-1.934574
182186494138883,-0.0010183123,0.021355849,0.0019847013,9.701602,0.60335726,-1.6712039
182186514138883,-0.002240043,0.039681803,-0.0041239513,9.596253,0.72546524,-1.5658557
182186534138883,-0.0016291776,0.016468927,-0.0065674125,9.624985,0.7039168,-1.5850099
182186554138883,-4.0744714E-4,-0.020793853,0.0056498926,9.768641,0.6296943,-1.7909175
182186574138883,0.0014251486,-0.03789808,0.006871623,9.811738,0.6177229,-1.977671
182186594138549,8.142834E-4,-0.018961258,0.0025955664,9.814133,0.6273,-1.934574
182186614138549,0.0020360139,0.023799311,7.629707E-4,9.680053,0.6440599,-1.7023294
182186634138849,0.0020360139,0.04517959,-0.0022913555,9.531608,0.679974,-1.5395187
182186654138849,0.0020360139,0.020744983,-0.0016804902,9.617802,0.68715686,-1.6664152
182186674138849,0.0032577442,-0.020793853,0.0056498926,9.6896305,0.5961744,-1.9537282
182186694138849,0.0026468793,-0.038508944,0.008704219,9.802161,0.6177229,-2.0327394
182186714138849,0.0020360139,-0.016517796,0.0019847013,9.651321,0.6488485,-1.924997
182186734138549,0.0014251486,0.017079793,-0.0029022207,9.615408,0.6464542,-1.7621863
182186754138549,0.0026468793,0.023799311,7.629707E-4,9.61062,0.62251145,-1.7071179
182186774138549,0.0026468793,0.0018081611,0.0019847013,9.701602,0.6488485,-1.908237
182186794138549,2.0341812E-4,-0.012241739,7.629707E-4,9.692024,0.6560313,-1.8842943
182186814138549,2.0341812E-4,-0.0043004914,0.0019847013,9.7135725,0.5985687,-1.7478206
182186834138549,8.142834E-4,0.003640757,0.0025955664,9.665688,0.6249057,-1.7693691
182186854138549,-0.0010183123,-0.0012461651,-0.0035130861,9.711179,0.69673395,-1.8699286
182186874138549,-0.0016291776,0.001197296,-0.0047348165,9.672871,0.62251145,-1.7981004
182186894138549,-0.0016291776,0.0018081611,7.629707E-4,9.617802,0.6656084,-1.7166951
182186914138549,-0.002850908,-6.352999E-4,-0.0041239513,9.591465,0.69673395,-1.8340145
182186934138549,-0.002240043,-0.009187413,-0.0016804902,9.730332,0.6057515,-1.8675344
182186954138549,-4.0744714E-4,-0.0043004914,0.0056498926,9.720756,0.6273,-1.8962656
182186974138549,-0.0016291776,0.004251622,-0.0016804902,9.586677,0.68715686,-1.7837347
182186994138715,-0.002850908,0.028075367,-0.0077891424,9.514848,0.6488485,-1.5562786
182187014138715,-0.002240043,0.030518828,-0.0029022207,9.5244255,0.65363705,-1.5275474
182187034138715,-0.002240043,-6.352999E-4,-0.001069625,9.672871,0.679974,-1.690358
182187054138715,-0.002850908,-0.04156327,1.5210545E-4,9.814133,0.68715686,-2.030345
182187074138715,-0.0010183123,-0.04706106,0.0032064316,9.953,0.6296943,-2.0686533
182187094138548,0.0020360139,-0.003689626,0.0044281622,9.754275,0.6177229,-1.8100717
182187114138548,2.0341812E-4,0.04579046,-0.0029022207,9.531608,0.75180227,-1.4389591
